State,Year,Obesity Rate,Poverty Rate,Median Income,Region
Alabama,2019,36.1,15.6,51771.0,South
Alabama,2020,39.0,14.9,53958.0,South
Alabama,2021,39.9,16.3,53990.0,South
Alabama,2022,38.3,16.2,59703.0,South
Alabama,2023,39.2,15.7,62248.0,South
Alaska,2019,30.5,10.2,77203.0,West
Alaska,2020,31.9,9.6,79961.0,West
Alaska,2021,33.5,10.8,78437.0,West
Alaska,2022,32.1,10.8,88072.0,West
Alaska,2023,35.2,10.5,88696.0,West
Arizona,2019,31.4,13.5,62027.0,West
Arizona,2020,30.9,12.8,64652.0,West
Arizona,2021,31.3,12.9,68967.0,West
Arizona,2022,33.2,12.5,74355.0,West
Arizona,2023,31.9,12.6,77158.0,West
Arkansas,2019,37.4,16.0,49020.0,South
Arkansas,2020,36.4,15.2,51146.0,South
Arkansas,2021,38.7,16.0,52577.0,South
Arkansas,2022,37.4,16.3,55505.0,South
Arkansas,2023,40.0,15.4,58748.0,South
California,2019,26.2,11.8,80423.0,West
California,2020,30.3,11.5,83001.0,West
California,2021,27.6,12.3,84831.0,West
California,2022,28.1,12.2,91517.0,West
California,2023,27.7,12.0,95473.0,West
Colorado,2019,23.8,9.4,77104.0,West
Colorado,2020,24.2,9.0,77688.0,West
Colorado,2021,25.1,9.7,82228.0,West
Colorado,2022,25.0,9.5,89096.0,West
Colorado,2023,24.9,9.4,92790.0,West
Connecticut,2019,29.1,9.9,78920.0,Northeast
Connecticut,2020,29.2,9.7,79723.0,Northeast
Connecticut,2021,30.4,10.1,83628.0,Northeast
Connecticut,2022,30.6,9.8,88182.0,Northeast
Connecticut,2023,29.4,10.2,91477.0,Northeast
Delaware,2019,34.4,11.2,70348.0,South
Delaware,2020,36.5,10.9,71335.0,South
Delaware,2021,33.9,11.5,71636.0,South
Delaware,2022,37.9,10.0,81933.0,South
Delaware,2023,35.7,10.8,81615.0,South
Florida,2019,27.0,12.7,59198.0,South
Florida,2020,28.4,12.4,61724.0,South
Florida,2021,,13.2,63054.0,South
Florida,2022,31.6,12.7,69287.0,South
Florida,2023,30.1,12.4,73283.0,South
Florida,2023,30.1,12.4,73283.0,South
Georgia,2019,33.1,13.5,61950.0,South
Georgia,2020,34.3,14.0,62800.0,South
Georgia,2021,33.9,14.2,66507.0,South
Georgia,2022,37.0,12.9,72742.0,South
Georgia,2023,35.0,13.7,74521.0,South
Hawaii,2019,25.0,9.0,83734.0,West
Hawaii,2020,24.5,8.9,86878.0,West
Hawaii,2021,25.0,10.9,85547.0,West
Hawaii,2022,25.9,10.0,93683.0,West
Hawaii,2023,26.1,10.2,96716.0,West
Idaho,2019,29.5,11.0,60830.0,West
Idaho,2020,31.1,10.1,62603.0,West
Idaho,2021,31.6,10.8,66318.0,West
Idaho,2022,33.2,10.5,72634.0,West
Idaho,2023,31.0,10.1,74859.0,West
Illinois,2019,31.6,11.4,69212.0,Midwest
Illinois,2020,32.4,11.0,71243.0,Midwest
Illinois,2021,34.2,12.1,72215.0,Midwest
Illinois,2022,33.4,11.9,76744.0,Midwest
Illinois,2023,36.0,11.6,80346.0,Midwest
Illinois,2023,36.0,11.6,80346.0,Midwest
Indiana,2019,35.3,11.9,57617.0,Midwest
Indiana,2020,36.8,11.6,60794.0,Midwest
Indiana,2021,36.3,12.1,62723.0,Midwest
Indiana,2022,37.7,12.5,66768.0,Midwest
Indiana,2023,37.8,12.2,69458.0,Midwest
Iowa,2019,33.9,11.0,61807.0,Midwest
Iowa,2020,36.5,10.2,62362.0,Midwest
Iowa,2021,36.4,11.0,65645.0,Midwest
Iowa,2022,37.4,11.0,69708.0,Midwest
Iowa,2023,37.8,11.1,71662.0,Midwest
Kansas,2019,35.2,11.3,62028.0,Midwest
Kansas,2020,35.3,10.6,63214.0,Midwest
Kansas,2021,36.0,11.6,64128.0,Midwest
Kansas,2022,35.7,11.9,68827.0,Midwest
Kansas,2023,35.9,11.2,70316.0,Midwest
Kentucky,2019,36.5,16.0,52256.0,South
Kentucky,2020,36.6,14.9,54074.0,South
Kentucky,2021,40.3,16.3,55532.0,South
Kentucky,2022,37.7,16.3,59246.0,South
Kentucky,2023,,16.1,61099.0,South
Louisiana,2019,35.9,18.8,51108.0,South
Louisiana,2020,38.1,17.8,51730.0,South
Louisiana,2021,38.6,19.5,52090.0,South
Louisiana,2022,40.1,18.6,55458.0,South
Louisiana,2023,39.9,18.9,58273.0,South
Maine,2019,31.7,10.9,58824.0,Northeast
Maine,2020,31.0,10.6,59145.0,Northeast
Maine,2021,31.9,11.2,64823.0,Northeast
Maine,2022,33.1,10.9,69485.0,Northeast
Maine,2023,32.6,10.5,73463.0,Northeast
Maryland,2019,32.3,9.1,86644.0,South
